Fuel,Oxidizer,Tu (K),Pu (atm),Equivalence Ratio,SL0 (cm/s),Method,Reference,Note
nC4H10,Air,300,1,0.684,20.71,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.733,23.29,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.782,26.94,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.834,30.82,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.88,34.24,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.929,36.47,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.976,38.94,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.02,40.59,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.07,40.94,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.13,40.35,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.17,39.06,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.22,37.65,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.27,34.82,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.32,31.88,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.37,28.12,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.4,22,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.46,19.76,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.5,15.76,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.56,15.9,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.66,11.8,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,1.71,9.65,Stagnation flame/linear ,Davis and Law  1998,Extracted from graph
nC4H10,Air,300,1,0.698,20.6,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,0.802,27.8,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,0.9,34.9,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,1,41.3,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,1.1,41.9,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,1.19,39.3,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,1.3,34.3,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,1.4,27.6,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,2,1.5,20.5,Stagnation flame/nonlinear,Hirasawa et al. 2002,Extracted from graph
nC4H10,Air,300,1,0.7,17.7615,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,0.75,22.2385,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,0.8,25.3211,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,0.85,27.9633,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,0.9,31.4128,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,0.95,33.6147,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1,35.2294,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.05,36.7706,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.1,37.4312,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.15,37.3578,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.2,36.9174,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.25,35.5963,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.3,31.8532,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.35,29.7248,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.4,25.2477,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.45,20.6239,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.5,17.7615,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.55,13.578,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.6,12.2569,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.65,9.3945,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.7,7.85321,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.75,6.31193,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.8,5.13761,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,300,1,1.85,4.25688,Spherical flame/nonlinear,Kelley and Law 2009,Extracted from graph
nC4H10,Air,343,1,0.75,36.6,Stagnation flame/nonlinear,Veloo et al. 2010,Extracted from graph
