,rmg_index,name,entry_type,sensitivity,uncertainty,improvement_score
0,0,N#N,species,-2.8222460379796376e-07,1.5,-4.2333690569694567e-07
1,1,[Ar],species,-2.9271946707446697e-07,1.5,-4.3907920061170045e-07
2,2,[He],species,-2.8222460379796376e-07,1.5,-4.2333690569694567e-07
3,3,[Ne],species,-2.8222460379796376e-07,1.5,-4.2333690569694567e-07
4,4,CCCC,species,0.30406388540677554,1.5,-0.4560958281101633
5,5,[O][O],species,0.747372225411941,1.5,-1.1210583381179116
6,6,[CH],species,-5.674624761810602e-07,1.5,-8.511937142715903e-07
7,7,[C]#C,species,1.7927118562347842e-06,1.5,-2.6890677843521762e-06
8,8,[O],species,2.6511348761563633e-05,1.5,-3.976702314234545e-05
9,9,[C-]#[O+],species,-0.053353639961745886,1.5,-0.08003045994261883
10,10,O=C=O,species,-0.0012592218462263122,1.5,-0.0018888327693394682
11,11,O,species,-0.35067206210404017,1.5,-0.5260080931560602
12,12,C=O,species,-0.11851259379315646,1.5,-0.17776889068973467
13,13,C,species,0.1686598149770817,1.5,-0.25298972246562257
14,14,C=C,species,0.0022671359766371457,1.5,-0.0034007039649557183
15,15,C=CC,species,-0.004015182878469823,1.5,-0.006022774317704734
16,16,[H][H],species,-0.00042285678101357856,1.5,-0.0006342851715203678
17,17,[H],species,0.22518513400206025,1.5,-0.33777770100309035
18,18,[OH],species,0.013901478156850586,1.5,-0.02085221723527588
19,19,[O]O,species,0.0017803313518764633,1.5,-0.002670497027814695
20,20,OO,species,-0.1065045645962737,1.5,-0.15975684689441055
21,21,[CH3],species,-0.38279256605927686,1.5,-0.5741888490889153
22,22,[CH]=O,species,-0.011981272684755727,1.5,-0.01797190902713359
23,23,C[C]=O,species,-0.0027300822250702966,1.5,-0.0040951233376054445
24,24,[CH2]C=O,species,0.00014008591361260652,1.5,-0.00021012887041890976
25,25,[CH]=C,species,0.017794656511185305,1.5,-0.026691984766777956
26,26,[CH2],species,0.00020597198469532788,1.5,-0.0003089579770429918
27,27,C=C=O,species,0.005397657358964673,1.5,-0.00809648603844701
28,28,C#C,species,-0.00032781584887237015,1.5,-0.0004917237733085552
29,29,CO,species,0.07599782739078212,1.5,-0.11399674108617318
30,30,C[O],species,-0.006694650605123575,1.5,-0.010041975907685362
31,31,CC,species,0.0035031874125632384,1.5,-0.005254781118844858
32,32,C[CH2],species,-0.399517317588287,1.5,-0.5992759763824305
33,33,CC=O,species,-0.00017742205224648548,1.5,-0.00026613307836972824
34,34,[O]C=O,species,-5.760307580837121e-06,1.5,-8.64046137125568e-06
35,35,O=CO,species,-0.002965284778214685,1.5,-0.004447927167322027
36,36,CO[O],species,-0.005356006276774703,1.5,-0.008034009415162054
37,37,COO,species,-0.3161757909257837,1.5,-0.47426368638867555
38,38,CCO[O],species,-0.16914939329578607,1.5,-0.2537240899436791
39,39,CCOO,species,-0.08388669822383604,1.5,-0.12583004733575406
40,40,CC[O],species,3.263109674950949e-05,1.5,-4.894664512426424e-05
41,41,C1CO1,species,-5.8052646364874566e-05,1.5,-8.707896954731186e-05
42,42,[O]OCC=O,species,0.0030429052250431753,1.5,-0.004564357837564763
43,43,[CH2]C(C)=O,species,-0.16617031132661114,1.5,-0.2492554669899167
44,44,CC(=O)C[O],species,-3.156229199454568e-07,1.5,-4.734343799181852e-07
45,45,CC(=O)CO[O],species,-0.25060083256459037,1.5,-0.3759012488468856
46,46,CC(=O)COO,species,-1.2139816947843836,1.5,-1.8209725421765754
47,47,C=CC=O,species,-0.0015753243820891144,1.5,-0.0023629865731336717
48,48,[CH2]CC,species,-0.00011137162876169599,1.5,-0.00016705744314254398
49,49,C[CH]C,species,-4.750665229186943e-06,1.5,-7.125997843780415e-06
50,50,[CH2]C=C,species,0.18305199305397082,1.5,-0.27457798958095625
51,51,CCCO[O],species,0.0004703807555497404,1.5,-0.0007055711333246106
52,52,CC(C)O[O],species,-4.187713308212567e-05,1.5,-6.28156996231885e-05
53,53,[CH2]CCOO,species,7.0992564562833575e-06,1.5,-1.0648884684425036e-05
54,54,C=CC[O],species,-0.0010986985797336148,1.5,-0.0016480478696004222
55,55,[CH2]OC=C,species,0.0004599105036740167,1.5,-0.0006898657555110251
56,56,[CH2]CCC,species,-0.26116476202001426,1.5,-0.3917471430300214
57,57,C[CH]CC,species,0.33659324721890665,1.5,-0.50488987082836
58,58,CCCCO[O],species,10.136918078055768,1.5,-15.205377117083652
59,59,CCC(C)O[O],species,10.257479386070504,1.5,-15.386219079105755
60,60,CCC(C)OO,species,0.21412100342748097,1.5,-0.32118150514122146
61,61,C=CCC,species,0.003575303325993489,1.5,-0.005362954988990233
62,62,CC=CC,species,0.005583171675246517,1.5,-0.008374757512869776
63,63,C=C[CH]C,species,0.16582330729519001,1.5,-0.24873496094278502
64,64,[CH2]CC=C,species,-0.00019196425036164134,1.5,-0.000287946375542462
65,65,[CH]=CCC,species,0.0007729733849150491,1.5,-0.0011594600773725736
66,66,C=CC=C,species,-0.002247489383633064,1.5,-0.003371234075449596
67,67,C=CC(C)[O],species,9.827485492358131e-05,1.5,-0.00014741228238537195
68,68,CC1CCO1,species,-0.004148062073606066,1.5,-0.006222093110409098
69,69,CCC(C)[O],species,-0.02124187497776071,1.5,-0.03186281246664106
70,70,C[CH]CCOO,species,-0.10665151324658945,1.5,-0.15997726986988417
71,71,[CH2]CCCOO,species,2.9960328887139764e-06,1.5,-4.494049333070965e-06
72,72,[CH2]CC(C)OO,species,-3.733814065168978,1.5,-5.600721097753467
73,73,CC(CCOO)O[O],species,-4.121353797701983,1.5,-6.1820306965529745
74,74,CC(CCO[O])OO,species,-3.593975715704244,1.5,-5.390963573556366
75,75,CC(C[CH]OO)OO,species,-2.7245218565692323e-05,1.5,-4.0867827848538486e-05
76,76,C[C](CCOO)OO,species,-0.00011395575543057561,1.5,-0.0001709336331458634
77,77,CC(CC=O)OO,species,2.0227528521462915e-06,1.5,-3.0341292782194374e-06
78,78,CC(=O)CCOO,species,1.3239973804598643e-06,1.5,-1.9859960706897966e-06
79,79,C[C]C,species,-3.2492133812279094e-07,2.0,-3.2492133812279094e-07
80,80,[CH2]C[O],species,2.2538231118598685e-06,3.2,4.507646223719741e-07
81,81,[CH2]C[CH]C,species,-7.726704139308887e-07,3.2,1.545340827861779e-07
82,82,[CH2]CC(C)[O],species,-2.8375574401570046e-07,3.2,5.675114880314014e-08
83,83,C[C]CC,species,-1.0046026946884723e-05,2.1,-9.041424252196249e-06
84,84,CC(CC[O])OO,species,-0.00293174049480675,2.3,-0.0020522183463647257
85,85,CC(CCOO)OO,species,1.742362464127607,2.7,-0.5227087392382818
86,86,CC(=O)CC[O],species,-3.215679083162512e-07,2.1,-2.8941111748462606e-07
87,87,[CH2]C(=O)COO,species,0.20254167848866458,3.1,0.020254167848866477
88,88,O=C1COC1,species,8.573151647320013e-07,2.2,-6.858521317856009e-07
89,89,C=C([O])C[O],species,-2.500061457615633e-07,2.2,-2.0000491660925059e-07
